samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.010870783048868179,0.009499296191959094,0.009594153068712589,,,
11000,300,12000,0.011041041398048401,0.009876334956146014,0.00966988511014098,3.4276643,"tensor(0.0162128229, device='cuda:0')","tensor(0.0059953332, device='cuda:0')"
22000,600,24000,0.010667054849863052,0.009677655860792398,0.009294132529896724,3.852813,"tensor(0.0587110147, device='cuda:0')","tensor(0.0095055848, device='cuda:0')"
33000,900,36000,0.011056694787740707,0.010086694416280042,0.009577768140110859,4.66335,"tensor(0.0076592686, device='cuda:0')","tensor(0.0099758739, device='cuda:0')"
44000,1200,48000,0.010459114158153534,0.009584219164776236,0.008951273467968413,3.6470149,"tensor(0.0864370391, device='cuda:0')","tensor(0.0081005497, device='cuda:0')"
45870,1251,50040,0.01053189525604248,0.00968381570831374,0.008985608394139213,3.3738108,"tensor(0.0237367377, device='cuda:0')","tensor(0.0053517967, device='cuda:0')"
56870,1551,62040,0.010395306783914565,0.009458411575250555,0.008705181229310802,4.5547776,"tensor(0.0526708215, device='cuda:0')","tensor(0.0096019413, device='cuda:0')"
67870,1851,74040,0.010203931450843811,0.009363401664198804,0.008435622874037792,4.4365363,"tensor(0.0218414366, device='cuda:0')","tensor(0.0506442972, device='cuda:0')"
78870,2151,86040,0.01016684929728508,0.009365327236089942,0.008351742689124177,3.988222,"tensor(0.0327724405, device='cuda:0')","tensor(0.0096696559, device='cuda:0')"
89870,2451,98040,0.010166660106182099,0.009436110190587677,0.008366880861251312,3.4801097,"tensor(0.0073052840, device='cuda:0')","tensor(0.0086867837, device='cuda:0')"
91740,2502,100080,0.009761219960451126,0.008984067799348697,0.007757099780119462,3.4239275,"tensor(0.0282698609, device='cuda:0')","tensor(0.0114201307, device='cuda:0')"
102740,2802,112080,0.010068497306108475,0.009063878726238308,0.007720283756607214,4.9340634,"tensor(0.0936548486, device='cuda:0')","tensor(0.0229618847, device='cuda:0')"
